h,difference,average,average3,amount
0,8,988.200,986.333,5
1,7,988.000,986.333,5
2,7,988.000,986.333,5
3,8,987.400,985.667,5
4,6,988.200,987.000,5
5,6,989.800,989.667,5
6,6,989.600,987.667,5
7,9,986.800,984.333,5
8,9,986.000,984.333,5
9,7,987.600,987.000,5
10,8,987.000,986.333,5
11,6,987.800,986.333,5
12,6,987.600,986.333,5
13,7,987.800,986.667,5
14,7,988.000,987.333,5
15,9,989.000,988.000,5
16,9,988.200,986.667,5
17,9,988.400,987.000,5
18,2,988.600,989.000,5
19,4,989.200,988.667,5
20,3,989.200,988.667,5
21,3,989.400,988.667,5
22,4,988.800,987.667,5
23,7,987.200,987.000,5
24,5,988.000,987.333,5
25,5,988.200,987.667,5
26,8,988.400,987.667,5
27,9,988.600,988.000,5
28,9,988.800,988.000,5
29,9,990.600,991.000,5
30,6,990.400,989.000,5
31,5,990.200,989.333,5
32,2,989.000,989.000,5
33,4,989.600,989.000,5
34,3,989.400,989.000,5
35,0,990.000,990.000,5
36,6,988.200,987.000,5
37,12,989.400,989.000,5
38,8,989.200,988.667,5
39,9,988.800,988.000,5
40,9,988.600,988.000,5
41,7,990.400,989.333,5
42,5,990.800,990.667,5
43,4,990.400,990.000,5
44,3,991.200,991.000,5
45,3,990.000,989.667,5
46,1,989.800,989.667,5
47,1,989.400,989.333,5
48,6,991.400,991.000,5
49,4,990.600,990.333,5
50,10,988.400,988.667,5
51,8,989.200,989.333,5
52,4,991.400,991.333,5
53,6,990.400,990.667,5
54,6,990.400,990.667,5
55,5,990.600,990.667,5
56,5,991.000,991.333,5
57,3,990.600,990.667,5
58,3,990.400,990.333,5
59,7,990.600,990.000,5
60,4,990.800,991.000,5
61,6,990.400,990.667,5
62,12,989.600,991.333,5
63,5,991.000,991.333,5
64,3,990.400,991.333,5
65,2,991.600,992.000,5
66,3,990.200,989.667,5
67,7,988.000,987.000,5
68,8,988.000,986.333,5
69,4,991.000,990.000,5
70,16,986.600,987.000,5
71,9,989.000,988.333,5
72,4,991.400,990.333,5
73,15,984.200,981.667,5
74,9,986.800,985.667,5
75,7,991.200,990.667,5
76,30,984.600,987.667,5
77,15,988.000,988.333,5
78,8,990.600,989.667,5
79,29,978.800,975.667,5
80,15,985.400,984.000,5
81,9,990.600,991.333,5
82,35,982.800,985.667,5
83,20,986.400,987.333,5
84,11,988.000,985.333,5
85,30,978.400,975.000,5
86,19,982.800,981.333,5
87,21,983.600,985.000,5
88,38,982.200,985.667,5
89,24,985.000,986.333,5
