h,difference,average,average3,amount
0,10,979.600,978.000,5
1,9,985.200,984.000,5
2,9,985.200,984.000,5
3,10,985.000,983.667,5
4,9,984.200,983.000,5
5,9,984.200,983.000,5
6,9,981.333,977.000,3
7,11,979.000,977.500,4
8,11,979.000,978.000,5
9,11,979.600,979.000,5
10,13,978.200,976.667,5
11,10,978.400,977.333,5
12,11,977.200,975.333,5
13,10,977.800,976.333,5
14,9,978.000,976.333,5
15,9,979.600,978.333,5
16,10,979.000,977.000,5
17,14,978.800,977.333,5
18,13,978.400,976.000,5
19,8,978.800,978.000,5
20,10,978.800,977.333,5
21,11,979.000,978.000,5
22,10,978.600,977.667,5
23,9,978.000,977.000,5
24,9,978.200,977.333,5
25,9,977.400,975.667,5
26,9,979.000,977.667,5
27,14,979.600,977.000,5
28,12,979.200,976.667,5
29,11,979.400,977.333,5
30,14,980.600,979.000,5
31,12,980.000,978.000,5
32,12,979.200,977.333,5
33,7,979.000,978.667,5
34,10,978.800,978.000,5
35,10,978.800,978.667,5
36,5,980.000,979.000,5
37,9,979.400,978.667,5
38,11,981.200,979.667,5
39,11,979.600,978.333,5
40,12,980.800,979.333,5
41,11,980.600,979.000,5
42,12,980.800,979.000,5
43,9,981.800,981.333,5
44,11,980.400,979.667,5
45,11,980.000,979.000,5
46,17,979.400,977.000,5
47,9,979.800,978.000,5
48,11,979.000,977.333,5
49,13,980.400,978.333,5
50,11,980.800,979.000,5
51,18,981.600,979.667,5
52,15,981.200,979.333,5
53,13,979.200,977.333,5
54,13,981.800,980.333,5
55,8,980.800,980.333,5
56,8,981.200,981.667,5
57,5,979.600,979.000,5
58,7,978.200,978.000,5
59,9,980.400,980.667,5
60,6,979.600,978.667,5
61,5,979.000,978.000,5
62,5,980.000,978.667,5
63,5,979.600,978.333,5
64,10,978.800,977.333,5
65,6,980.200,980.000,5
66,11,981.400,983.667,5
67,12,975.600,979.333,5
68,5,980.800,981.000,5
69,6,980.000,979.333,5
70,23,972.400,967.000,5
71,7,979.000,978.000,5
72,8,976.800,978.000,5
73,25,973.400,979.000,5
74,11,980.200,980.333,5
75,11,981.200,979.333,5
76,26,971.800,966.000,5
77,11,975.400,973.000,5
78,23,971.000,974.000,5
79,31,964.400,971.333,5
80,14,976.200,979.000,5
81,11,977.400,975.000,5
82,28,970.400,964.000,5
83,9,974.000,972.333,5
84,38,963.400,973.333,5
85,33,964.200,973.667,5
86,19,973.200,978.000,5
87,30,971.800,965.333,5
88,39,968.800,961.667,5
89,17,968.400,965.667,5
90,49,948.000,958.667,5
91,40,956.800,965.333,5
92,15,963.400,966.333,5
93,46,958.400,946.667,5
94,44,962.200,951.000,5
95,17,958.000,953.667,5
96,54,945.400,956.000,5
97,48,954.200,964.333,5
98,19,958.600,962.333,5
99,53,957.000,945.000,5
100,45,964.400,955.667,5
101,17,948.600,945.667,5
102,61,938.600,947.000,5
103,53,948.800,958.333,5
104,36,952.600,958.000,5
105,29,944.200,940.667,5
106,45,953.400,943.333,5
107,44,953.200,942.667,5
108,32,919.400,924.000,5
109,35,928.000,936.333,5
110,63,939.400,953.333,5
111,39,944.400,952.000,5
112,21,941.600,938.333,5
113,48,946.000,936.000,5
114,31,947.200,942.333,5
115,46,919.000,922.000,5
116,33,917.400,919.333,5
117,30,913.800,918.667,5
118,49,908.200,913.333,5
119,51,908.600,906.667,5
120,59,909.200,910.000,5
121,53,912.400,914.333,5
122,56,910.600,911.000,5
123,24,896.000,896.667,5
124,43,900.400,905.667,5
125,56,911.800,912.333,5
126,58,915.800,918.667,5
127,61,891.600,892.000,5
128,42,899.600,909.000,5
129,39,905.000,918.000,5
130,40,902.000,908.000,5
131,46,894.400,895.667,5
132,38,904.200,900.667,5
133,61,914.800,910.333,5
134,63,914.600,910.333,5
135,44,915.400,915.667,5
136,49,917.600,930.667,5
137,54,915.000,927.000,5
138,55,910.200,918.000,5
139,17,900.000,901.000,5
140,41,915.400,907.667,5
141,49,927.600,923.000,5
142,52,921.400,916.333,5
143,35,921.600,923.000,5
144,56,922.200,937.333,5
145,66,911.200,929.333,5
146,51,910.400,922.000,5
147,35,919.000,921.333,5
148,59,919.600,910.000,5
149,60,929.000,920.333,5
150,59,929.200,926.667,5
151,37,927.600,934.333,5
152,48,918.400,931.667,5
153,49,921.200,932.000,5
154,30,923.400,926.667,5
155,17,930.800,928.333,5
156,37,932.600,925.667,5
157,40,931.400,926.000,5
158,25,941.400,945.667,5
159,43,936.200,947.000,5
160,46,923.200,936.667,5
161,70,919.600,933.667,5
162,82,922.000,936.667,5
163,27,930.600,931.333,5
164,31,930.400,928.000,5
165,26,936.400,938.000,5
166,19,938.600,941.333,5
167,24,936.000,942.333,5
168,29,931.000,938.333,5
169,49,930.800,939.000,5
170,20,938.800,940.667,5
171,27,936.800,933.667,5
172,31,940.600,936.000,5
173,10,944.800,943.333,5
174,8,945.400,943.667,5
175,6,944.800,944.333,5
176,13,946.000,943.000,5
177,18,942.200,943.000,5
178,13,945.000,945.333,5
179,15,946.600,948.333,5
180,13,944.800,945.667,5
181,18,944.200,946.000,5
182,8,946.200,946.333,5
183,9,944.000,944.000,5
184,20,943.000,945.000,5
185,20,941.000,941.000,5
186,20,941.200,942.667,5
187,25,942.400,942.333,5
188,20,941.600,942.667,5
189,17,941.400,942.667,5
190,15,937.600,939.000,5
191,19,938.400,935.333,5
192,18,937.600,936.667,5
193,26,939.600,938.000,5
194,23,940.600,939.333,5
195,12,941.600,940.667,5
196,11,938.800,939.000,5
197,16,936.200,937.000,5
198,12,935.200,934.000,5
199,21,937.800,934.667,5
200,17,935.000,932.333,5
201,22,938.600,934.667,5
202,14,936.800,936.000,5
203,12,934.200,934.333,5
204,10,930.000,933.000,5
205,14,930.000,933.000,5
206,10,929.400,930.667,5
207,11,929.000,929.333,5
208,7,927.800,927.333,5
209,6,927.400,928.000,5
210,10,926.800,928.667,5
211,13,927.200,929.667,5
212,10,925.800,926.667,5
213,4,925.800,925.667,5
214,6,925.800,925.333,5
215,4,925.800,925.333,5
216,10,924.200,926.000,5
217,11,925.000,927.667,5
218,13,923.800,926.333,5
219,7,921.600,923.000,5
220,2,923.000,922.667,5
221,6,922.600,921.667,5
222,5,921.000,919.667,5
223,5,921.600,922.667,5
224,9,921.800,923.333,5
225,5,919.600,920.667,5
226,3,918.600,919.000,5
227,4,919.000,919.333,5
228,4,919.400,918.667,5
229,6,917.400,917.667,5
230,3,917.400,917.333,5
231,6,918.000,918.667,5
