h,result
0,977
1,987
2,987
3,987
4,986
5,986
7,975
8,975
9,975
10,975
11,975
12,975
13,975
14,977
15,979
16,979
17,974
18,976
19,976
20,976
21,975
22,975
23,975
24,975
25,976
26,978
27,978
28,979
29,979
30,976
31,977
32,976
33,976
34,975
35,974
36,979
37,978
38,979
39,978
40,979
41,979
42,979
43,978
44,976
45,976
46,975
47,979
48,977
49,978
50,978
51,979
52,978
53,978
54,978
55,978
56,979
57,979
58,975
59,978
60,980
61,980
62,981
63,981
64,979
65,979
66,976
67,970
68,978
69,979
70,979
71,978
72,973
73,962
74,976
75,981
76,979
77,977
78,964
79,955
80,972
81,979
82,978
83,974
84,946
85,951
86,966
87,980
88,978
89,971
90,936
91,946
92,961
93,976
94,977
95,962
96,934
97,945
98,956
99,976
100,976
101,953
102,934
103,944
104,953
105,952
106,969
107,966
108,914
109,918
110,922
111,928
112,939
113,953
114,940
115,905
116,907
117,906
118,907
119,898
120,880
121,883
122,884
123,883
124,880
125,916
126,895
127,887
128,888
129,885
130,880
131,880
132,911
133,928
134,905
135,897
136,893
137,894
138,889
139,893
140,930
141,935
142,919
143,902
144,895
145,892
146,895
147,930
148,935
149,936
150,933
151,907
152,900
153,895
154,927
155,934
156,939
157,937
158,936
159,914
160,906
161,923
162,938
163,940
164,941
165,942
166,940
167,920
168,921
169,942
170,946
171,945
172,948
173,949
174,949
175,943
176,946
177,950
178,951
179,951
180,950
181,950
182,950
183,948
184,950
185,951
186,949
187,955
188,950
189,948
190,943
191,951
192,948
193,955
194,954
195,942
196,933
197,927
198,931
199,934
200,934
201,935
202,931
203,928
204,926
205,928
206,931
207,933
208,932
209,927
210,926
211,924
212,927
213,927
214,929
215,928
216,925
217,922
218,920
219,920
220,924
221,926
222,924
223,921
224,920
225,918
226,918
227,920
228,921
229,920
230,918
231,917
232,916
233,915
234,919
235,918
236,915
237,914
238,913
239,913
240,912
241,921
242,927
243,934
244,941
245,950
246,963
247,962
248,939
249,943
250,948
251,955
252,964
253,978
254,979
255,951
256,949
257,954
258,961
259,971
260,980
261,984
262,973
263,952
264,957
265,965
266,976
267,987
268,986
269,981
270,961
271,960
272,968
273,980
274,987
275,986
276,984
277,976
278,963
279,971
280,984
281,987
282,986
283,986
284,983
285,970
286,973
287,984
288,986
289,986
290,986
291,985
292,982
293,977
294,986
295,985
296,985
297,985
298,985
299,984
300,985
301,984
302,985
303,984
304,980
305,983
306,984
307,984
308,984
309,984
310,984
311,978
312,980
313,984
314,984
315,984
316,984
317,979
318,975
319,979
320,983
321,984
322,984
323,984
324,977
325,974
326,978
327,983
328,984
329,984
330,980
331,975
332,974
333,975
334,982
335,983
336,984
337,976
338,975
339,974
340,973
341,981
342,983
343,979
344,975
345,974
346,973
347,973
348,979
349,979
350,976
351,974
352,973
353,973
354,973
355,974
356,976
357,974
358,973
359,972
