h,difference,average,average3,amount
0,7,985.000,983.333,5
1,7,984.800,983.333,5
2,8,984.600,982.667,5
3,8,985.400,984.333,5
4,11,983.600,981.333,5
5,11,984.600,981.333,5
6,9,985.200,982.333,5
7,7,984.600,982.667,5
8,7,983.800,982.667,5
9,7,983.800,982.667,5
10,7,984.400,982.667,5
11,7,985.000,983.667,5
12,7,984.400,983.000,5
13,7,984.800,983.667,5
14,10,985.200,983.667,5
15,10,984.200,982.000,5
16,9,984.400,982.667,5
17,8,985.200,984.000,5
18,3,983.600,983.000,5
19,6,984.600,983.333,5
20,7,984.600,983.000,5
21,7,983.600,981.333,5
22,6,985.400,984.000,5
23,6,984.000,983.333,5
24,7,984.400,983.333,5
25,6,984.800,984.000,5
26,8,985.000,984.000,5
27,9,984.800,983.667,5
28,7,985.400,984.333,5
29,9,983.800,982.000,5
30,7,985.600,983.333,5
31,8,984.600,982.667,5
32,5,983.400,982.333,5
33,6,985.200,983.667,5
34,5,985.000,983.667,5
35,8,985.000,983.667,5
36,5,985.200,984.000,5
37,12,985.000,983.667,5
38,8,984.800,983.667,5
39,9,984.600,983.333,5
40,7,985.000,984.333,5
41,9,985.400,983.333,5
42,6,985.600,984.333,5
43,9,984.000,981.667,5
44,8,984.800,982.667,5
45,4,983.800,983.000,5
46,3,985.800,985.333,5
47,2,984.800,984.000,5
48,6,986.400,985.000,5
49,10,984.800,983.000,5
50,7,984.800,983.667,5
51,4,985.600,985.333,5
52,5,985.600,984.000,5
53,4,985.400,984.667,5
54,5,985.800,984.667,5
55,8,984.600,983.000,5
56,5,985.000,983.667,5
57,4,986.000,985.333,5
58,4,985.400,984.333,5
59,7,986.000,984.333,5
60,5,985.400,984.333,5
61,9,984.000,984.333,5
62,5,985.600,984.333,5
63,4,984.800,983.667,5
64,6,982.400,981.000,5
65,6,985.400,984.333,5
66,8,984.400,983.667,5
67,13,983.000,982.333,5
68,3,985.800,985.000,5
69,8,981.600,981.000,5
70,10,980.600,978.333,5
71,6,985.800,985.000,5
72,15,981.800,982.000,5
73,20,980.600,980.333,5
74,4,985.600,985.000,5
75,28,972.600,972.333,5
76,15,978.400,976.667,5
77,6,986.200,986.333,5
78,30,977.800,980.333,5
79,20,979.400,980.000,5
80,5,983.000,982.000,5
81,35,967.800,965.667,5
82,23,975.800,974.333,5
83,11,982.400,980.333,5
84,35,974.400,976.333,5
85,23,978.200,979.333,5
86,12,978.000,978.000,5
87,37,966.600,964.667,5
88,24,972.600,970.667,5
89,16,978.000,976.667,5
90,50,970.400,971.333,5
91,34,974.200,974.667,5
92,40,964.000,968.000,5
93,44,964.200,962.333,5
94,28,969.400,967.667,5
95,33,965.000,964.667,5
96,53,970.000,970.667,5
97,36,971.000,971.667,5
98,37,952.600,952.000,5
99,49,961.800,960.000,5
100,29,965.200,963.000,5
101,40,953.800,953.000,5
102,52,964.400,964.667,5
103,45,968.200,969.000,5
104,31,947.600,952.000,5
105,35,947.600,945.000,5
106,44,954.400,952.000,5
107,31,955.400,952.667,5
108,39,945.400,943.667,5
109,53,956.800,955.000,5
110,49,958.400,960.333,5
111,34,931.800,930.000,5
112,39,936.000,933.333,5
113,47,944.800,943.000,5
114,28,928.600,927.000,5
115,39,931.000,929.667,5
116,41,935.600,935.667,5
117,33,925.400,930.000,5
118,24,909.800,910.333,5
119,27,906.200,907.333,5
120,32,893.800,896.333,5
121,30,898.000,902.000,5
122,26,896.400,900.000,5
123,37,898.000,902.667,5
124,28,902.600,910.667,5
125,24,904.800,906.667,5
126,19,902.600,903.667,5
127,30,905.200,912.333,5
128,32,909.800,911.333,5
129,46,907.000,912.000,5
130,30,902.400,907.000,5
131,34,907.800,916.667,5
132,45,914.600,923.667,5
133,27,911.200,911.667,5
134,42,913.800,921.000,5
135,41,917.400,922.333,5
136,41,916.600,919.000,5
137,20,908.000,907.000,5
138,33,916.400,923.000,5
139,35,914.800,925.000,5
140,35,917.600,919.333,5
141,34,916.800,916.333,5
142,39,918.000,919.000,5
143,40,919.400,920.000,5
144,38,917.600,916.000,5
145,46,910.000,910.000,5
146,26,914.800,921.667,5
147,34,918.400,924.000,5
148,41,918.800,921.000,5
149,38,917.800,919.000,5
150,40,920.000,915.000,5
151,49,917.200,913.333,5
152,45,916.600,917.333,5
153,25,920.400,923.000,5
154,33,922.400,927.333,5
155,43,923.200,929.000,5
156,50,928.800,938.000,5
157,20,933.400,936.667,5
158,28,926.400,925.333,5
159,25,930.000,933.000,5
160,39,924.800,930.000,5
161,32,926.000,933.000,5
162,27,926.600,931.333,5
163,52,931.000,940.333,5
164,30,937.200,942.667,5
165,26,932.000,931.333,5
166,22,934.400,936.667,5
167,26,928.800,932.333,5
168,35,929.000,936.333,5
169,17,934.000,938.333,5
170,30,928.400,931.667,5
171,28,928.800,935.333,5
172,11,933.000,935.667,5
173,12,931.400,932.667,5
174,6,930.600,931.000,5
175,12,934.000,937.667,5
176,17,935.600,940.000,5
