h,averageIndividualDifference,averageIndividualDifferencePts,totalSpread,totalSpreadPts,spreadDifference,spreadDifferencePts
240,1.800,9.486,113.000,2.211,10.400,9.480
239,1.800,9.486,111.600,2.184,10.600,9.470
238,3.400,9.029,109.000,2.133,10.000,9.500
237,4.800,8.629,107.600,2.106,11.400,9.430
234,5.800,8.343,104.400,2.043,10.800,9.460
236,6.000,8.286,107.400,2.102,13.000,9.350
235,6.400,8.171,103.800,2.031,10.200,9.490
232,6.800,8.057,100.800,1.973,9.400,9.530
300,2.400,9.314,12.600,0.247,1.000,9.950
299,2.400,9.314,12.600,0.247,1.400,9.930
301,2.800,9.200,12.200,0.239,1.600,9.920
303,2.800,9.200,12.000,0.235,1.800,9.910
308,3.000,9.143,13.000,0.254,1.400,9.930
298,3.200,9.086,12.800,0.250,1.600,9.920
307,3.200,9.086,13.400,0.262,2.200,9.890
302,3.400,9.029,12.400,0.243,2.000,9.900
52,3.200,9.086,10.200,0.200,3.000,9.850
357,3.600,8.971,8.800,0.172,1.000,9.950
356,3.400,9.029,8.200,0.160,2.400,9.880
353,3.600,8.971,8.400,0.164,1.400,9.930
359,3.600,8.971,8.000,0.157,1.400,9.930
233,8.400,7.600,104.600,2.047,12.400,9.380
304,4.400,8.743,13.600,0.266,1.000,9.950
350,4.200,8.800,11.200,0.219,1.600,9.920
354,4.000,8.857,8.600,0.168,2.400,9.880
296,4.400,8.743,14.200,0.278,2.400,9.880
305,4.200,8.800,12.600,0.247,3.000,9.850
358,4.000,8.857,7.000,0.137,2.200,9.890
352,4.400,8.743,9.600,0.188,1.200,9.940
349,4.400,8.743,9.000,0.176,1.000,9.950
311,4.600,8.686,12.400,0.243,1.200,9.940
346,4.200,8.800,8.000,0.157,2.400,9.880
309,4.600,8.686,13.000,0.254,2.400,9.880
60,4.600,8.686,10.400,0.204,1.400,9.930
57,4.400,8.743,9.800,0.192,2.400,9.880
297,4.200,8.800,10.800,0.211,4.000,9.800
314,4.600,8.686,13.000,0.254,2.600,9.870
355,4.600,8.686,10.200,0.200,2.800,9.860
56,4.800,8.629,10.200,0.200,1.800,9.910
47,4.600,8.686,8.400,0.164,2.400,9.880
63,5.200,8.514,12.000,0.235,1.000,9.950
310,5.200,8.514,11.400,0.223,1.200,9.940
343,5.400,8.457,12.200,0.239,1.000,9.950
306,5.000,8.571,11.200,0.219,3.000,9.850
18,5.000,8.571,9.000,0.176,2.200,9.890
65,4.600,8.686,13.000,0.254,6.200,9.690
347,4.800,8.629,9.400,0.184,4.200,9.790
351,5.000,8.571,9.600,0.188,3.200,9.840
46,5.200,8.514,9.600,0.188,2.400,9.880
295,5.400,8.457,16.400,0.321,4.400,9.780
54,5.600,8.400,9.800,0.192,1.000,9.950
322,5.200,8.514,12.000,0.235,4.200,9.790
336,5.800,8.343,13.400,0.262,1.600,9.920
315,5.600,8.400,13.000,0.254,2.600,9.870
312,5.600,8.400,10.600,0.207,2.000,9.900
51,5.400,8.457,10.000,0.196,3.600,9.820
59,5.600,8.400,9.800,0.192,2.400,9.880
53,5.600,8.400,9.200,0.180,2.200,9.890
317,6.000,8.286,11.200,0.219,0.800,9.960
227,9.800,7.200,95.800,1.875,12.200,9.390
64,5.400,8.457,11.600,0.227,4.400,9.780
318,6.000,8.286,12.600,0.247,1.400,9.930
58,5.800,8.343,11.600,0.227,2.400,9.880
339,5.800,8.343,8.800,0.172,2.000,9.900
316,5.800,8.343,12.200,0.239,3.600,9.820
330,6.200,8.229,11.800,0.231,1.200,9.940
337,6.200,8.229,12.000,0.235,1.600,9.920
329,6.200,8.229,13.400,0.262,2.200,9.890
321,6.200,8.229,12.200,0.239,2.000,9.900
41,5.800,8.343,8.800,0.172,3.400,9.830
294,5.800,8.343,9.200,0.180,3.600,9.820
340,5.800,8.343,8.800,0.172,3.600,9.820
323,6.400,8.171,13.000,0.254,2.200,9.890
45,6.400,8.171,10.200,0.200,1.400,9.930
48,6.200,8.229,10.600,0.207,3.200,9.840
333,6.000,8.286,8.600,0.168,3.600,9.820
43,6.200,8.229,9.200,0.180,3.000,9.850
24,6.400,8.171,9.200,0.180,2.000,9.900
49,6.400,8.171,9.600,0.188,2.200,9.890
32,6.200,8.229,8.200,0.160,2.800,9.860
40,6.400,8.171,9.200,0.180,2.400,9.880
66,6.600,8.114,12.600,0.247,2.800,9.860
55,6.400,8.171,9.600,0.188,3.000,9.850
35,6.600,8.114,9.400,0.184,2.000,9.900
328,6.800,8.057,11.800,0.231,1.800,9.910
30,6.200,8.229,8.200,0.160,4.000,9.800
348,6.400,8.171,9.400,0.184,3.400,9.830
25,6.400,8.171,7.800,0.153,2.800,9.860
12,6.600,8.114,7.400,0.145,1.800,9.910
38,6.800,8.057,9.200,0.180,1.600,9.920
62,6.800,8.057,9.200,0.180,1.600,9.920
313,7.000,8.000,11.000,0.215,1.400,9.930
39,6.800,8.057,9.200,0.180,2.200,9.890
291,7.200,7.943,24.200,0.474,6.200,9.690
319,6.800,8.057,10.800,0.211,3.400,9.830
293,6.800,8.057,14.800,0.290,5.000,9.750
61,6.800,8.057,10.600,0.207,3.400,9.830
42,6.600,8.114,10.200,0.200,4.600,9.770
335,7.400,7.886,11.800,0.231,1.200,9.940
225,11.600,6.686,91.000,1.781,8.200,9.590
19,7.000,8.000,8.400,0.164,2.200,9.890
292,7.400,7.886,16.200,0.317,3.200,9.840
327,7.200,7.943,10.400,0.204,2.200,9.890
331,7.400,7.886,11.400,0.223,1.600,9.920
326,7.200,7.943,10.400,0.204,2.600,9.870
230,12.200,6.514,102.000,1.996,10.000,9.500
34,7.200,7.943,9.000,0.176,2.200,9.890
344,7.200,7.943,11.000,0.215,3.000,9.850
22,7.000,8.000,8.000,0.157,3.000,9.850
13,7.200,7.943,8.200,0.160,2.000,9.900
320,7.200,7.943,10.200,0.200,2.800,9.860
21,7.200,7.943,8.600,0.168,2.200,9.890
29,7.400,7.886,10.800,0.211,2.000,9.900
324,7.400,7.886,11.400,0.223,2.400,9.880
325,7.400,7.886,9.800,0.192,1.800,9.910
1,7.400,7.886,7.200,0.141,1.200,9.940
11,7.200,7.943,7.800,0.153,2.600,9.870
36,7.200,7.943,6.200,0.121,2.000,9.900
27,7.600,7.829,8.400,0.164,0.600,9.970
33,7.400,7.886,8.800,0.172,2.400,9.880
228,12.000,6.571,93.800,1.836,9.400,9.530
334,7.400,7.886,9.600,0.188,3.200,9.840
28,7.200,7.943,8.400,0.164,4.200,9.790
16,7.800,7.771,7.600,0.149,0.600,9.970
345,7.600,7.829,8.600,0.168,2.200,9.890
341,7.600,7.829,9.600,0.188,3.200,9.840
26,7.600,7.829,8.200,0.160,2.800,9.860
44,7.600,7.829,11.000,0.215,4.000,9.800
0,7.800,7.771,7.000,0.137,1.400,9.930
3,7.600,7.829,7.000,0.137,2.600,9.870
342,8.200,7.657,9.800,0.192,0.600,9.970
4,7.800,7.771,7.800,0.153,2.200,9.890
332,8.000,7.714,8.600,0.168,1.400,9.930
226,12.200,6.514,95.800,1.875,11.600,9.420
338,8.000,7.714,10.800,0.211,2.600,9.870
17,7.800,7.771,9.800,0.192,3.400,9.830
31,8.000,7.714,10.000,0.196,3.200,9.840
14,8.000,7.714,7.200,0.141,2.200,9.890
68,8.400,7.600,14.400,0.282,2.800,9.860
15,8.200,7.657,8.600,0.168,1.800,9.910
20,8.200,7.657,8.600,0.168,1.800,9.910
5,8.000,7.714,8.800,0.172,3.200,9.840
231,13.200,6.229,95.800,1.875,7.800,9.610
6,7.800,7.771,7.400,0.145,4.400,9.780
50,8.400,7.600,8.800,0.172,1.600,9.920
71,8.600,7.543,19.600,0.384,5.200,9.740
290,8.400,7.600,7.800,0.153,2.200,9.890
23,8.400,7.600,8.400,0.164,2.800,9.860
229,13.000,6.286,99.600,1.949,12.800,9.360
2,8.400,7.600,7.200,0.141,3.400,9.830
10,8.800,7.486,8.400,0.164,2.600,9.870
8,8.800,7.486,6.400,0.125,3.000,9.850
7,8.800,7.486,5.200,0.102,2.600,9.870
219,12.800,6.343,86.400,1.691,11.600,9.420
67,9.400,7.314,12.000,0.235,5.000,9.750
187,12.600,6.400,60.600,1.186,6.200,9.690
9,10.000,7.143,8.200,0.160,1.400,9.930
186,13.000,6.286,61.800,1.209,6.800,9.660
37,10.600,6.971,10.600,0.207,2.400,9.880
70,10.000,7.143,10.600,0.207,6.200,9.690
287,11.200,6.800,16.800,0.329,1.800,9.910
185,14.000,6.000,58.400,1.143,4.200,9.790
69,11.200,6.800,19.000,0.372,5.200,9.740
220,14.800,5.771,84.800,1.659,11.400,9.430
74,11.800,6.629,17.200,0.337,2.400,9.880
174,13.600,6.114,56.800,1.112,8.000,9.600
181,13.000,6.286,51.800,1.014,10.400,9.480
212,15.600,5.543,77.600,1.519,7.000,9.650
173,14.200,5.943,57.000,1.115,7.400,9.630
188,14.600,5.829,58.200,1.139,5.800,9.710
191,14.200,5.943,57.400,1.123,8.200,9.590
288,11.800,6.629,24.800,0.485,9.200,9.540
177,13.400,6.171,53.000,1.037,11.800,9.410
241,14.400,5.886,76.200,1.491,15.600,9.220
286,12.600,6.400,21.400,0.419,5.200,9.740
289,11.000,6.857,14.800,0.290,11.800,9.410
189,15.000,5.714,57.000,1.115,8.600,9.570
218,17.200,5.086,81.000,1.585,6.000,9.700
184,14.800,5.771,53.600,1.049,9.000,9.550
223,17.400,5.029,91.200,1.785,9.400,9.530
224,18.000,4.857,88.600,1.734,5.400,9.730
213,16.400,5.314,77.200,1.511,10.400,9.480
284,14.200,5.943,31.000,0.607,5.800,9.710
222,17.000,5.143,90.000,1.761,13.800,9.310
178,14.600,5.829,47.400,0.928,11.200,9.440
180,13.800,6.057,48.000,0.939,16.200,9.190
77,14.400,5.886,28.200,0.552,5.400,9.730
221,17.200,5.086,83.400,1.632,11.800,9.410
182,15.600,5.543,51.000,0.998,9.800,9.510
283,13.600,6.114,20.000,0.391,9.600,9.520
73,14.800,5.771,19.400,0.380,3.600,9.820
206,17.800,4.914,69.600,1.362,8.400,9.580
201,17.200,5.086,69.200,1.354,11.800,9.410
215,17.800,4.914,79.800,1.562,13.200,9.340
199,17.000,5.143,66.000,1.292,14.400,9.280
179,15.000,5.714,50.800,0.994,20.000,9.000
72,15.000,5.714,18.600,0.364,7.400,9.630
216,19.000,4.571,80.800,1.581,10.400,9.480
205,18.200,4.800,68.400,1.339,10.200,9.490
176,19.000,4.571,55.600,1.088,1.800,9.910
208,19.200,4.514,74.000,1.448,8.600,9.570
202,17.800,4.914,64.400,1.260,13.400,9.330
183,17.600,4.971,52.600,1.029,10.200,9.490
192,17.400,5.029,58.800,1.151,13.800,9.310
195,18.400,4.743,58.600,1.147,9.200,9.540
211,19.600,4.400,72.800,1.425,8.000,9.600
285,16.600,5.257,24.000,0.470,6.600,9.670
217,20.800,4.057,81.400,1.593,5.200,9.740
