h,result
0,935
1,935
2,935
3,935
4,935
5,935
6,935
7,935
8,935
9,935
10,934
11,934
12,934
13,934
14,936
15,935
16,935
17,929
18,933
19,933
20,933
21,933
22,934
23,933
24,933
25,939
26,935
27,935
28,934
29,934
30,932
31,932
32,932
33,932
34,932
35,933
36,938
37,934
38,934
39,933
40,933
41,933
42,933
43,934
44,928
45,932
46,932
47,937
48,933
49,933
50,933
51,932
52,932
53,932
54,931
55,932
56,932
57,928
58,935
59,932
60,932
61,931
62,930
63,931
64,928
65,923
66,915
67,930
68,929
69,927
70,923
71,909
72,904
73,928
74,927
75,923
76,913
77,880
78,890
79,921
80,924
81,919
82,902
83,853
84,878
85,911
86,921
87,911
88,880
89,833
90,861
91,894
92,915
93,899
94,843
95,815
96,841
97,873
98,901
99,881
100,769
101,784
102,806
103,830
104,857
105,880
106,819
107,730
108,745
109,758
110,776
111,796
112,819
113,643
114,642
115,640
116,631
117,603
118,560
119,477
120,269
121,269
122,272
123,280
124,266
125,295
126,290
127,297
128,295
129,303
130,305
131,276
132,347
133,362
134,325
135,338
136,336
137,311
138,308
139,348
140,399
141,410
142,381
143,365
144,352
145,323
146,352
147,395
148,412
149,427
150,403
151,364
152,338
153,334
154,385
155,399
156,418
157,419
158,403
159,397
160,363
161,409
162,426
163,438
164,436
165,448
166,426
167,402
168,407
169,429
170,447
171,449
172,448
173,454
174,467
175,435
176,444
177,454
178,464
179,469
180,451
181,444
182,443
183,437
184,433
185,449
186,459
187,461
188,473
189,477
190,490
191,497
192,450
193,440
194,438
195,437
196,426
197,422
198,427
199,435
200,429
201,430
202,424
203,417
204,410
205,414
206,418
207,416
208,407
209,401
210,397
211,392
212,398
213,401
214,406
215,401
216,397
217,391
218,388
219,388
220,389
221,388
222,383
223,383
224,377
225,382
226,375
227,384
228,381
229,374
230,377
231,373
232,371
233,371
234,375
235,371
236,368
237,368
238,367
239,366
240,366
241,488
242,578
243,644
244,706
245,775
246,665
247,693
248,725
249,759
250,794
251,832
252,876
253,834
254,759
255,784
256,813
257,843
258,875
259,904
260,883
261,821
262,814
263,839
264,868
265,900
266,917
267,907
268,884
269,837
270,857
271,884
272,916
273,925
274,919
275,907
276,878
277,871
278,897
279,924
280,928
281,926
282,920
283,908
284,887
285,910
286,931
287,931
288,930
289,927
290,922
291,911
292,920
293,932
294,932
295,931
296,931
297,930
298,929
299,932
300,932
301,932
302,932
303,932
304,931
305,931
306,932
307,931
308,931
309,931
310,930
311,933
312,931
313,932
314,931
315,931
316,928
317,929
318,932
319,931
320,931
321,932
322,931
323,930
324,929
325,931
326,931
327,931
328,931
329,928
330,930
331,929
332,929
333,930
334,931
335,932
336,930
337,929
338,929
339,929
340,930
341,932
342,928
343,930
344,929
345,929
346,929
347,933
348,930
349,930
350,930
351,929
352,929
353,929
354,933
355,930
356,930
357,930
358,929
359,929
