h,difference,average,average3,amount
0,7,980.000,978.333,5
1,6,980.000,978.667,5
2,7,979.600,978.000,5
3,9,978.600,976.667,5
4,7,979.800,977.667,5
5,7,980.000,977.667,5
6,7,979.400,977.667,5
7,7,978.000,977.000,5
8,7,978.200,977.333,5
9,6,978.400,977.000,5
10,6,978.800,977.667,5
11,6,978.800,977.333,5
12,6,979.000,978.000,5
13,9,977.800,976.000,5
14,11,977.800,975.667,5
15,4,977.400,976.333,5
16,5,977.400,976.000,5
17,5,977.800,976.667,5
18,6,978.600,976.667,5
19,6,978.200,976.667,5
20,6,978.200,976.667,5
21,8,978.200,976.667,5
22,6,977.800,977.000,5
23,5,978.200,977.333,5
24,7,978.000,976.667,5
25,7,978.000,976.667,5
26,7,977.800,976.333,5
27,7,977.400,976.000,5
28,10,977.200,975.667,5
29,6,977.000,975.667,5
30,5,977.600,976.333,5
31,5,977.200,975.667,5
32,5,977.000,975.667,5
33,5,977.400,976.333,5
34,5,978.200,977.667,5
35,11,978.400,976.000,5
36,7,976.400,975.667,5
37,6,976.600,975.333,5
38,6,976.800,975.667,5
39,5,977.800,977.333,5
40,9,976.000,974.333,5
41,6,976.800,975.333,5
42,9,975.600,973.667,5
43,3,975.000,974.667,5
44,5,976.200,975.000,5
45,4,977.200,976.667,5
46,9,977.200,975.333,5
47,5,976.200,975.000,5
48,9,975.400,973.667,5
49,7,975.800,974.333,5
50,9,975.200,975.000,5
51,5,975.600,975.000,5
52,5,976.800,975.000,5
53,5,975.800,974.667,5
54,6,975.200,973.667,5
55,10,975.400,974.000,5
56,6,976.200,975.333,5
57,1,974.600,974.333,5
58,5,975.400,974.333,5
59,5,975.200,974.000,5
60,5,975.200,974.000,5
61,4,975.400,974.667,5
62,6,975.000,974.000,5
63,15,972.600,971.000,5
64,6,975.000,973.667,5
65,5,974.200,973.000,5
66,21,966.600,963.667,5
67,5,975.400,974.333,5
68,9,973.200,972.333,5
69,26,968.000,967.667,5
70,5,975.600,974.000,5
71,10,971.600,970.000,5
72,35,958.600,954.667,5
73,8,973.600,972.333,5
74,18,970.400,970.000,5
75,34,964.000,964.333,5
76,7,972.200,971.333,5
77,20,965.400,963.667,5
78,43,953.200,948.667,5
79,10,968.400,966.333,5
80,47,959.600,962.333,5
81,42,961.000,961.667,5
82,10,969.400,968.000,5
83,62,945.200,944.667,5
84,48,949.400,945.000,5
85,15,962.600,960.000,5
86,68,951.400,954.333,5
87,48,957.400,959.000,5
88,13,962.800,962.333,5
89,77,932.800,927.000,5
90,58,943.000,938.000,5
91,14,952.000,950.333,5
92,77,945.200,948.000,5
93,54,953.800,956.000,5
94,9,952.000,951.667,5
95,89,924.600,917.333,5
96,66,936.400,930.667,5
97,10,937.000,935.333,5
98,80,939.600,942.667,5
99,60,948.400,951.333,5
100,16,932.400,933.333,5
101,93,910.800,904.333,5
102,83,924.200,918.000,5
103,32,924.600,921.667,5
104,67,910.400,913.000,5
105,83,933.400,937.000,5
106,58,936.600,940.000,5
107,83,878.000,875.000,5
108,92,894.600,890.000,5
109,95,908.800,903.000,5
110,51,874.400,877.333,5
111,68,887.400,891.667,5
112,90,906.400,911.667,5
113,63,894.000,901.667,5
114,95,840.400,839.000,5
115,98,850.200,848.333,5
116,118,865.800,863.333,5
117,48,808.800,814.667,5
118,82,795.600,798.333,5
119,77,760.600,762.000,5
120,200,613.800,632.333,5
121,197,611.200,625.000,5
122,190,621.800,639.667,5
123,179,615.600,637.333,5
124,155,627.600,635.000,5
125,155,628.600,637.000,5
126,170,624.400,635.667,5
127,173,620.200,651.667,5
128,200,640.000,654.667,5
129,183,627.000,636.667,5
130,174,644.400,667.333,5
131,150,632.000,638.000,5
132,126,624.400,609.333,5
133,129,627.800,624.000,5
134,159,630.600,632.333,5
135,174,639.600,642.667,5
136,154,622.400,637.000,5
137,151,639.400,649.333,5
138,150,651.600,660.000,5
139,92,652.200,647.000,5
140,106,627.000,633.333,5
141,124,638.000,649.333,5
142,149,654.400,653.333,5
143,166,663.000,669.667,5
144,171,661.000,668.000,5
145,158,650.600,653.000,5
146,123,684.000,698.333,5
147,96,685.200,692.667,5
148,96,648.400,657.667,5
149,116,650.800,633.333,5
150,138,650.000,629.667,5
151,131,669.400,644.667,5
152,125,678.600,654.667,5
153,90,674.200,653.333,5
154,78,673.400,654.000,5
155,74,677.800,658.333,5
156,89,685.600,667.000,5
157,130,692.600,672.333,5
158,139,683.200,664.667,5
159,119,682.200,679.000,5
160,106,695.000,696.333,5
161,87,699.600,697.667,5
162,57,686.800,677.667,5
163,56,704.200,702.000,5
164,78,705.400,693.667,5
165,88,701.600,683.333,5
166,75,699.600,686.000,5
167,61,708.000,698.667,5
168,54,714.000,703.333,5
169,53,725.000,716.000,5
170,61,718.400,713.667,5
171,43,726.000,723.000,5
172,59,723.000,716.333,5
173,53,727.000,723.000,5
174,43,731.800,733.333,5
175,73,716.800,738.000,5
176,59,727.400,744.333,5
177,55,733.000,737.333,5
178,77,732.600,746.667,5
179,81,735.000,750.000,5
180,88,725.200,734.667,5
181,82,723.600,732.000,5
182,77,712.400,730.667,5
183,57,727.800,731.333,5
184,59,726.200,730.000,5
185,53,723.200,728.333,5
186,54,723.200,728.333,5
187,54,722.600,725.000,5
188,52,719.200,719.667,5
189,85,711.800,720.667,5
190,52,726.000,721.000,5
191,50,721.000,712.667,5
192,47,718.200,714.333,5
193,51,712.000,703.333,5
194,61,715.200,705.333,5
195,53,708.600,704.667,5
196,55,704.400,706.333,5
197,46,701.400,706.667,5
198,44,698.800,700.667,5
199,76,685.400,687.667,5
200,87,686.600,699.667,5
201,74,687.000,693.000,5
202,69,682.600,689.000,5
203,58,680.000,686.667,5
204,41,684.200,687.667,5
205,40,679.000,685.333,5
206,61,679.200,682.000,5
207,76,676.200,680.667,5
208,57,665.200,663.000,5
209,48,655.800,651.000,5
210,27,652.400,650.667,5
211,45,651.400,651.333,5
212,64,648.400,653.333,5
213,76,650.000,649.000,5
214,81,644.600,642.667,5
215,63,639.600,637.000,5
216,69,644.800,649.000,5
217,33,630.800,630.333,5
218,42,629.600,633.667,5
219,61,637.600,645.333,5
220,75,636.000,640.000,5
221,80,628.200,627.000,5
222,61,624.800,629.000,5
223,69,622.000,626.333,5
224,44,614.200,616.667,5
225,36,609.000,614.333,5
226,59,609.800,619.000,5
227,60,610.200,611.667,5
228,56,601.600,602.000,5
229,49,593.400,601.333,5
230,45,590.600,596.000,5
231,33,586.600,588.000,5
232,25,582.600,585.667,5
233,45,581.800,587.667,5
234,47,579.600,577.000,5
235,27,571.200,570.333,5
236,27,567.800,569.667,5
237,15,561.200,561.000,5
238,9,554.800,554.333,5
239,5,550.000,549.667,5
240,7,543.400,541.667,5
241,62,731.200,725.333,5
242,95,812.400,804.000,5
243,67,802.800,804.333,5
244,79,841.600,843.667,5
245,94,882.600,885.000,5
246,77,889.000,902.000,5
247,73,850.800,844.333,5
248,82,877.800,870.667,5
249,92,905.400,898.000,5
250,26,889.800,890.333,5
251,77,895.200,897.667,5
252,92,923.000,925.667,5
253,69,935.800,941.000,5
254,63,891.200,890.667,5
255,82,904.800,897.667,5
256,83,926.200,919.333,5
257,43,932.000,928.000,5
258,77,914.800,917.000,5
259,82,939.200,943.667,5
260,60,949.000,952.667,5
261,18,942.200,945.667,5
262,81,918.400,911.333,5
263,73,935.200,929.000,5
264,45,945.600,941.667,5
265,33,943.800,944.667,5
266,78,946.600,950.000,5
267,55,955.200,958.333,5
268,25,959.800,961.000,5
269,69,938.000,935.667,5
270,66,941.400,936.000,5
271,41,952.600,948.667,5
272,8,963.200,962.000,5
273,69,952.200,956.333,5
274,50,958.800,961.000,5
275,23,966.600,967.000,5
276,23,965.800,964.667,5
277,59,945.600,940.667,5
278,35,958.200,954.667,5
279,9,971.600,970.000,5
280,35,967.000,970.000,5
281,42,962.400,964.333,5
282,16,971.000,971.000,5
283,7,974.600,974.000,5
284,38,957.400,956.333,5
285,29,962.800,959.667,5
286,9,974.600,972.667,5
287,10,974.400,974.667,5
288,32,966.200,968.333,5
289,9,974.400,974.000,5
290,3,976.200,975.667,5
291,10,971.600,971.333,5
292,18,967.400,964.667,5
293,3,976.800,976.333,5
294,4,976.000,975.667,5
295,10,973.400,973.333,5
296,8,973.800,973.667,5
297,2,976.000,975.667,5
298,2,975.200,974.667,5
299,3,974.200,973.667,5
300,2,975.800,975.333,5
301,2,975.800,975.333,5
302,2,975.600,975.000,5
303,2,975.400,975.000,5
304,5,976.000,975.000,5
305,3,975.000,974.333,5
306,7,975.000,975.667,5
307,3,975.200,974.667,5
308,7,974.400,973.333,5
309,3,975.600,975.000,5
310,3,975.800,976.000,5
