h,averageIndividualDifference,averageIndividualDifferencePts,totalSpread,totalSpreadPts,spreadDifference,spreadDifferencePts
305,3.000,9.143,65.000,1.272,3.200,9.840
301,3.200,9.086,64.600,1.264,2.600,9.870
303,3.400,9.029,64.400,1.260,2.600,9.870
302,3.600,8.971,64.600,1.264,2.400,9.880
300,3.600,8.971,64.800,1.268,2.800,9.860
324,3.800,8.914,62.400,1.221,1.600,9.920
307,3.800,8.914,64.200,1.256,2.400,9.880
316,4.000,8.857,66.400,1.299,2.800,9.860
299,3.400,9.029,65.000,1.272,5.800,9.710
312,4.000,8.857,62.400,1.221,1.600,9.920
304,4.200,8.800,64.200,1.256,1.200,9.940
311,4.200,8.800,62.800,1.229,1.200,9.940
298,4.000,8.857,66.600,1.303,4.200,9.790
57,4.000,8.857,65.200,1.276,4.800,9.760
359,2.800,9.200,57.200,1.119,8.800,9.560
356,3.200,9.086,57.200,1.119,7.200,9.640
358,3.000,9.143,57.800,1.131,8.600,9.570
318,4.600,8.686,62.600,1.225,1.600,9.920
331,4.400,8.743,62.200,1.217,2.600,9.870
310,4.600,8.686,64.200,1.256,2.400,9.880
351,4.000,8.857,60.600,1.186,4.600,9.770
352,3.400,9.029,58.800,1.151,7.600,9.620
339,3.600,8.971,58.800,1.151,6.600,9.670
323,4.800,8.629,64.400,1.260,2.000,9.900
338,4.400,8.743,62.600,1.225,3.600,9.820
337,4.600,8.686,62.400,1.221,2.400,9.880
322,4.800,8.629,64.200,1.256,2.200,9.890
330,4.800,8.629,63.200,1.237,2.600,9.870
353,3.600,8.971,57.600,1.127,7.400,9.630
336,4.800,8.629,62.200,1.217,2.400,9.880
317,5.000,8.571,63.600,1.245,2.000,9.900
329,5.000,8.571,64.200,1.256,3.000,9.850
309,5.200,8.514,65.400,1.280,3.000,9.850
308,4.800,8.629,64.800,1.268,5.200,9.740
306,5.400,8.457,63.800,1.249,2.200,9.890
44,5.200,8.514,64.000,1.252,3.600,9.820
297,5.200,8.514,64.600,1.264,4.000,9.800
340,4.200,8.800,58.400,1.143,7.400,9.630
332,5.000,8.571,59.800,1.170,3.400,9.830
343,5.000,8.571,61.800,1.209,4.400,9.780
319,5.800,8.343,62.000,1.213,0.600,9.970
346,4.400,8.743,58.400,1.143,7.200,9.640
344,5.400,8.457,62.200,1.217,3.000,9.850
326,5.200,8.514,61.200,1.198,4.200,9.790
313,5.600,8.400,62.600,1.225,2.600,9.870
325,5.400,8.457,60.400,1.182,3.000,9.850
333,5.000,8.571,59.600,1.166,5.000,9.750
296,5.200,8.514,65.200,1.276,6.200,9.690
314,5.800,8.343,63.600,1.245,2.200,9.890
350,5.000,8.571,60.200,1.178,6.200,9.690
355,5.000,8.571,59.200,1.159,6.600,9.670
349,5.000,8.571,58.800,1.151,6.600,9.670
321,6.200,8.229,62.400,1.221,1.400,9.930
357,4.400,8.743,58.800,1.151,10.400,9.480
